clean_file,noise_file,snr_original,snr_gauss,imp_gauss,rmse_gauss,snr_butter,imp_butter,rmse_butter,snr_specgate,imp_specgate,rmse_specgate,snr_wavelet,imp_wavelet,rmse_wavelet
Speech3,Keyboard,17.45790397801086,4.386634276150565,-13.071269701860297,0.04364786444151299,17.3424791303528,-0.11542484765806194,0.009821340253442041,16.824922206698684,-0.6329817713121777,0.010424340850678327,10.406330392908371,-7.05157358510249,0.021826203193688856
Speech3,WaterDrop,16.334745175955224,4.329143701431008,-12.005601474524216,0.04393772117936873,16.321106978054498,-0.013638197900725402,0.01104687309056231,15.720197182009406,-0.614547993945818,0.011838177693857695,10.462734313908815,-5.872010862046409,0.02168492867130474
Speech3,FireCrackle,4.2591630403358005,1.493437359509677,-2.7657256808261232,0.06090077869354344,4.2494368036499095,-0.00972623668589101,0.04434277555166618,10.527523974245547,6.268360933909746,0.021523778541581596,3.974403333567495,-0.2847597067683054,0.045769329153719125
Speech3,Chainsaw,2.7657564611127756,1.0123768737993348,-1.7533795873134408,0.0643688677519651,2.763274475626184,-0.0024819854865918423,0.05261759451833022,2.887748946932454,0.12199248581967836,0.051868927281950715,3.247212588425775,0.48145612731299936,0.04976615458314768
Speech4,Sprinkler,16.37792320881048,14.75942836555084,-1.61849484325964,0.025691185778199035,16.262118580049318,-0.11580462876116115,0.02160974483846443,15.633957596032591,-0.7439656127778882,0.023230453500232243,14.157466553120381,-2.220456655690098,0.027534819903085553
Speech4,Keyboard,25.249094699241002,18.97828060021965,-6.270814099021351,0.015806711905763788,25.191842563426697,-0.05725213581430566,0.00772971425692843,20.857929860158922,-4.39116483908208,0.01273089906409564,22.225638346015664,-3.0234563532253382,0.010876111483560193
Speech4,WaterDrop,24.88836195931723,18.840184920507927,-6.048177038809303,0.016060028878288998,24.852929225987687,-0.035432733329543,0.008037280151774717,20.975316750949908,-3.913045208367322,0.012560002630180946,22.34395644420118,-2.5444055151160505,0.010728962953113416
Speech4,FireCrackle,10.881268656118019,10.688429692513475,-0.19283896360454378,0.041051977600777494,10.677544304809125,-0.2037243513088942,0.041103457281093894,13.81412279076156,2.9328541346435415,0.028645039691320692,11.061895548766927,0.18062689264890786,0.039324280970220366
Speech4,Chainsaw,7.671494987310938,8.307427335514877,0.635932348203939,0.05399881148760539,7.633805897301058,-0.037689090009879855,0.05835328007396152,7.620150044729201,-0.0513449425817365,0.058445094564049165,9.436763830883653,1.7652688435727146,0.047415177025990504
Speech5,Sprinkler,13.090852417209167,12.468886963844106,-0.6219654533650605,0.02998979226944528,13.084631391595538,-0.0062210256136285835,0.02793741609489304,15.065484167222374,1.9746317500132076,0.022240451388585696,12.705228915829217,-0.38562350137994983,0.029184775703804282
Speech5,Keyboard,22.73454081862966,18.497766540612623,-4.236774278017037,0.014980609337988183,22.73439414326542,-0.0001466753642418439,0.00919809940139613,22.612105171398206,-0.12243564723145539,0.009328515707913064,22.083462019756332,-0.6510787988733284,0.009913903899275375
Speech5,FireCrackle,8.035524437269544,8.043446102793245,0.007921665523701549,0.04991665796009727,8.020447468640272,-0.015076968629271548,0.05004900320171917,12.033660677883976,3.998136240614432,0.03153078417427669,8.217223570261847,0.18169913299230345,0.04892790575762503
Speech5,Chainsaw,5.655408743972781,6.391967189183633,0.7365584452108527,0.060369759576385226,5.623245670559953,-0.032163073412827536,0.0659561841977238,5.654511631740564,-0.000897112232216557,0.0657191933442342,6.883561945371909,1.2281532013991283,0.0570479060821407
Speech6,Sprinkler,10.041704399033245,9.538588064864806,-0.503116334168439,0.04424543187483501,10.035016344022106,-0.006688055011139227,0.041787561099439596,14.095909813964212,4.054205414930967,0.02618197182104292,10.001376586036667,-0.04032781299657806,0.041949714793059624
Speech6,Keyboard,18.82595973816835,15.632961903782315,-3.192997834386036,0.02193561154334982,18.82671065690737,0.000750918739019113,0.015186661360902997,18.92521536365384,0.09925562548549038,0.015015405795444652,18.353198825840686,-0.47276091232766504,0.016037545462812084
Speech6,WaterDrop,19.31344537202719,15.64016194693567,-3.673283425091519,0.021917435868269497,19.30793681725509,-0.005508554772099217,0.014368154885322042,19.323832316969312,0.010386944942123222,0.014341884674826862,18.713655516478077,-0.5997898555491119,0.015385622271507587
Speech6,FireCrackle,5.2559450833934545,5.305707360622306,0.04976227722885174,0.07202984392968265,5.240056351194285,-0.015888732199169198,0.07257633350749204,10.49283342321112,5.236888339817666,0.03964205599526581,5.436900410108063,0.18095532671460823,0.07095006886054653
Speech6,Chainsaw,3.1584188876629677,3.865115222467577,0.7066963348046094,0.08502410727493422,2.113553412533954,-1.0448654751290136,0.1040207956087531,3.213611887858625,0.055193000195657316,0.09164678775202467,4.544276557305093,1.385857669642125,0.07862922840824425
